Max,Min,WL,Mean,RMS,Var,WAMP,SSC,Log,MaxF,MinF,WLF,MeanF,RMSF,VarF,WAMPF,SSCF,LogF,class
21,1,173,11.33,140.97,12.728385,1,8,7.0326242,318.20605,0.31444988,1792.9225,19.103296,1568.8939,1216.1191,1,45,7.5550313,2
24,1,218,14.6,235.2,22.262629,2,15,7.286192,413.6679,0.43989754,2000.9922,22.69508,2328.8672,1832.1222,1,53,7.7273183,2
25,1,181,10.98,152.14,31.89858,1,8,7.0012455,477.30914,0.5655779,1729.6512,18.763103,2827.5334,2500.4844,1,28,7.5370626,2
42,1,330,22.26,576.6,81.911476,0,18,7.7079616,700.05334,0.6917848,3220.891,36.045135,6879.639,5636.755,3,55,8.189942,2
31,2,237,15.96,313.2,59.069096,1,14,7.3752556,413.6679,0.62889975,2352.0881,26.818743,3883.3538,3196.0688,3,50,7.8942714,2
43,1,260,21.35,548.01,93.11867,0,8,7.666222,477.30914,0.91121143,2803.0342,30.740257,3648.1619,2730.5032,3,62,8.030744,2
29,1,197,15.92,289.84,36.76122,0,8,7.3727465,763.69464,0.43989754,2579.9663,28.310493,6909.8125,6170.03,1,24,7.948403,2
28,1,254,16.37,307.15,39.56881,3,12,7.4006205,350.02667,0.5660085,2186.572,23.693365,1975.7455,1428.6566,3,57,7.770365,2
38,1,291,19.26,427.62,57.244827,1,14,7.5632005,445.48846,0.84837556,2562.5273,27.700762,3114.7698,2371.149,3,54,7.92663,2
28,1,226,13.24,200.82,25.780203,1,11,7.1884127,222.74423,0.47167417,1718.6565,19.036938,1046.3378,690.84125,5,57,7.5515513,2
38,8,331,20.1,453.42,49.90908,2,25,7.60589,668.2328,0.5027375,4186.5137,44.787926,11149.72,9236.122,4,48,8.407108,2
33,1,242,17.32,366.54,67.22988,3,9,7.457032,350.02667,0.66034055,2175.8184,25.40721,2689.873,2064.9958,5,56,7.8402033,2
26,2,229,15.73,285.67,38.623337,2,18,7.3607397,509.12973,0.5970065,2296.859,25.265373,3609.894,3001.5703,1,42,7.834605,2
24,1,192,12.65,192.03,32.330814,2,6,7.1428275,350.02667,0.3770535,1802.205,19.704596,1798.8605,1424.8379,1,48,7.586022,2
21,1,126,7.8,74.08,13.373732,1,4,6.659294,286.3855,0.4087863,1175.6364,12.666599,1023.1971,871.46906,1,32,7.144139,2
26,1,187,13.62,209.8,24.541027,2,9,7.2167096,350.02667,0.5345621,2032.5675,23.367744,2813.03,2289.8762,5,50,7.756527,2
31,1,247,14.23,238.87,36.744545,1,9,7.2605224,254.56487,0.6284231,2271.1274,22.41783,1793.1697,1303.6471,6,55,7.715027,2
19,1,212,12.07,162.01,16.49,7,23,7.0958934,413.6679,0.47131532,1944.8846,21.043041,2600.7795,2179.7676,3,32,7.65174,2
12,1,115,5.47,33.25,3.3627255,6,11,6.3044486,95.46153,0.21994877,864.5944,9.075629,261.10803,180.54646,7,40,6.810763,2
38,1,233,14.85,271.33,51.320713,1,8,7.30317,859.1563,0.40847537,3026.471,31.262695,9975.723,9089.258,3,20,8.047596,2
30,1,228,17.4,353.3,51.050495,1,14,7.4616404,222.74423,0.6284231,2088.427,24.098877,1513.859,942.5284,8,65,7.7873354,2
25,1,221,13.44,209.26,28.915567,2,14,7.2034054,445.48846,0.40847537,2046.7269,21.799936,2863.5266,2412.4136,3,35,7.687077,2
19,1,191,9.05,101.27,19.563126,5,16,6.8079348,190.92366,0.31444988,1194.274,14.879403,983.67737,769.9808,4,38,7.305148,2
37,1,302,16.93,353.17,67.21726,1,16,7.4342575,413.6679,0.6912612,2191.3477,23.856884,2424.6545,1874.2458,1,50,7.777243,2
15,1,125,7.21,60.17,8.268585,1,7,6.5806394,254.56487,0.18852675,1183.7507,12.864782,897.7319,739.6256,1,23,7.1596637,2
27,2,196,12.37,174.29,21.487984,1,8,7.1204443,408,0.43989754,2178.0122,25.511076,4315.7314,3701.9353,5,42,7.844283,2
29,1,226,13.47,211.09,29.948593,0,9,7.205635,222.74423,0.5970065,1713.8599,19.14003,1022.1872,662.471,3,53,7.556952,2
15,1,131,5.98,42.46,6.7672734,3,6,6.393591,95.46153,0.18867028,1029.9727,9.950591,326.97235,230.26071,11,40,6.902802,2
19,1,149,8.24,86.16,18.446869,1,13,6.7141705,222.74423,0.3770535,1254.9645,13.19418,826.8812,659.3887,4,39,7.184946,2
23,1,217,13.02,186.02,16.666265,6,13,7.1716566,350.02667,0.43989754,1998.6274,21.079063,1855.6985,1425.6276,1,50,7.6534505,2
22,1,221,13.88,217.76,25.359188,3,17,7.235619,381.84732,0.5655779,1935.4546,21.514807,2193.214,1747.8053,3,42,7.6739116,2
39,1,259,18.44,418.26,79.01657,0,13,7.5196924,222.74423,0.3770535,2039.6176,24.367315,1297.4689,710.8109,4,68,7.798413,2
26,2,242,15.06,253.2,26.663029,2,16,7.3172126,381.84732,0.5027375,2176.205,24.194914,2409.481,1842.5118,2,47,7.7913127,2
32,1,344,15.67,302.45,57.47586,2,20,7.3569183,318.20605,0.5660085,1969.738,22.44845,1752.9904,1261.6741,3,59,7.7163916,2
21,1,204,8.26,87.76,19.729694,3,7,6.7165947,153,0.31444988,912.5777,11.873746,524.0746,386.95853,1,43,7.0794997,2
24,2,238,11.17,152.41,27.920307,5,10,7.0184016,763.69464,0.40847537,2045.1177,23.248308,6693.745,6215.416,1,17,7.7514024,2
21,2,235,9.68,110.46,16.926867,2,17,6.875232,459,0.4402282,1899.9882,20.973545,3786.9233,3380.8413,3,28,7.6484323,2
